"speed","dist","sqrtDist","logDist","sqrtSpeed","logSpeed","expSpeed","powSpeed"
4,2,1.4142135623731,0.693147180559945,2,1.38629436111989,54.5981500331442,16
4,10,3.16227766016838,2.30258509299405,2,1.38629436111989,54.5981500331442,16
7,4,2,1.38629436111989,2.64575131106459,1.94591014905531,1096.63315842846,49
7,22,4.69041575982343,3.09104245335832,2.64575131106459,1.94591014905531,1096.63315842846,49
8,16,4,2.77258872223978,2.82842712474619,2.07944154167984,2980.95798704173,64
9,10,3.16227766016838,2.30258509299405,3,2.19722457733622,8103.08392757538,81
10,18,4.24264068711928,2.89037175789616,3.16227766016838,2.30258509299405,22026.4657948067,100
10,26,5.09901951359278,3.25809653802148,3.16227766016838,2.30258509299405,22026.4657948067,100
10,34,5.8309518948453,3.52636052461616,3.16227766016838,2.30258509299405,22026.4657948067,100
11,17,4.12310562561766,2.83321334405622,3.3166247903554,2.39789527279837,59874.1417151978,121
11,28,5.29150262212918,3.3322045101752,3.3166247903554,2.39789527279837,59874.1417151978,121
12,14,3.74165738677394,2.63905732961526,3.46410161513775,2.484906649788,162754.791419004,144
12,20,4.47213595499958,2.99573227355399,3.46410161513775,2.484906649788,162754.791419004,144
12,24,4.89897948556636,3.17805383034795,3.46410161513775,2.484906649788,162754.791419004,144
12,28,5.29150262212918,3.3322045101752,3.46410161513775,2.484906649788,162754.791419004,144
13,26,5.09901951359278,3.25809653802148,3.60555127546399,2.56494935746154,442413.39200892,169
13,34,5.8309518948453,3.52636052461616,3.60555127546399,2.56494935746154,442413.39200892,169
13,34,5.8309518948453,3.52636052461616,3.60555127546399,2.56494935746154,442413.39200892,169
13,46,6.78232998312527,3.8286413964891,3.60555127546399,2.56494935746154,442413.39200892,169
14,26,5.09901951359278,3.25809653802148,3.74165738677394,2.63905732961526,1202604.28416478,196
14,36,6,3.58351893845611,3.74165738677394,2.63905732961526,1202604.28416478,196
14,60,7.74596669241483,4.0943445622221,3.74165738677394,2.63905732961526,1202604.28416478,196
14,80,8.94427190999916,4.38202663467388,3.74165738677394,2.63905732961526,1202604.28416478,196
15,20,4.47213595499958,2.99573227355399,3.87298334620742,2.70805020110221,3269017.37247211,225
15,26,5.09901951359278,3.25809653802148,3.87298334620742,2.70805020110221,3269017.37247211,225
15,54,7.34846922834953,3.98898404656427,3.87298334620742,2.70805020110221,3269017.37247211,225
16,32,5.65685424949238,3.46573590279973,4,2.77258872223978,8886110.52050787,256
16,40,6.32455532033676,3.68887945411394,4,2.77258872223978,8886110.52050787,256
17,32,5.65685424949238,3.46573590279973,4.12310562561766,2.83321334405622,24154952.7535753,289
17,40,6.32455532033676,3.68887945411394,4.12310562561766,2.83321334405622,24154952.7535753,289
17,50,7.07106781186548,3.91202300542815,4.12310562561766,2.83321334405622,24154952.7535753,289
18,42,6.48074069840786,3.73766961828337,4.24264068711928,2.89037175789616,65659969.1373305,324
18,56,7.48331477354788,4.02535169073515,4.24264068711928,2.89037175789616,65659969.1373305,324
18,76,8.71779788708135,4.33073334028633,4.24264068711928,2.89037175789616,65659969.1373305,324
18,84,9.16515138991168,4.43081679884331,4.24264068711928,2.89037175789616,65659969.1373305,324
19,36,6,3.58351893845611,4.35889894354067,2.94443897916644,178482300.963187,361
19,46,6.78232998312527,3.8286413964891,4.35889894354067,2.94443897916644,178482300.963187,361
19,68,8.24621125123532,4.21950770517611,4.35889894354067,2.94443897916644,178482300.963187,361
20,32,5.65685424949238,3.46573590279973,4.47213595499958,2.99573227355399,485165195.40979,400
20,48,6.92820323027551,3.87120101090789,4.47213595499958,2.99573227355399,485165195.40979,400
20,52,7.21110255092798,3.95124371858143,4.47213595499958,2.99573227355399,485165195.40979,400
20,56,7.48331477354788,4.02535169073515,4.47213595499958,2.99573227355399,485165195.40979,400
20,64,8,4.15888308335967,4.47213595499958,2.99573227355399,485165195.40979,400
22,66,8.12403840463596,4.18965474202643,4.69041575982343,3.09104245335832,3584912846.13159,484
23,54,7.34846922834953,3.98898404656427,4.79583152331272,3.13549421592915,9744803446.2489,529
24,70,8.36660026534076,4.24849524204936,4.89897948556636,3.17805383034795,26489122129.8435,576
24,92,9.59166304662544,4.52178857704904,4.89897948556636,3.17805383034795,26489122129.8435,576
24,93,9.64365076099295,4.53259949315326,4.89897948556636,3.17805383034795,26489122129.8435,576
24,120,10.9544511501033,4.78749174278205,4.89897948556636,3.17805383034795,26489122129.8435,576
25,85,9.21954445729289,4.44265125649032,5,3.2188758248682,72004899337.3859,625
